energy,danceability,valence,liveness,instrumentalness,acousticness,speechiness,On_chart,Cluster
0.885,0.531,0.5770000000000001,0.299,0.0,0.404,0.276,0,7
0.732,0.812,0.349,0.0892,0.937,0.000182,0.0774,0,8
0.638,0.8,0.462,0.0819,0.8740000000000001,0.0125,0.0589,0,8
0.131,0.313,0.0565,0.583,2.7600000000000007e-05,0.937,0.0572,0,2
0.856,0.804,0.319,0.102,0.7709999999999999,0.000298,0.0609,0,8
0.541,0.807,0.732,0.103,0.942,0.000228,0.0971,0,1
0.222,0.805,0.6459999999999999,0.11,0.775,0.000245,0.121,0,1
0.825,0.81,0.397,0.068,0.901,0.00013,0.06,0,8
0.905,0.812,0.647,0.0344,0.914,3.74e-05,0.0607,0,1
0.435,0.424,0.37,0.271,4.42e-05,0.698,0.0312,0,2
0.55,0.877,0.445,0.0818,0.0,0.136,0.3,0,9
0.326,0.604,0.245,0.108,0.000365,0.365,0.0296,0,9
0.534,0.8590000000000001,0.8009999999999999,0.0976,0.0,0.278,0.271,0,5
0.7959999999999999,0.488,0.8809999999999999,0.113,0.0,0.179,0.417,0,5
0.398,0.71,0.589,0.0959,0.0,0.147,0.772,0,9
0.759,0.765,0.8809999999999999,0.11,0.0674,0.183,0.246,0,5
0.711,0.789,0.363,0.1669999999999999,6.7e-05,0.00839,0.1369999999999999,0,7
0.643,0.858,0.772,0.0727,0.8859999999999999,0.0006519999999999,0.133,0,1
0.043,0.491,0.352,0.125,0.996,0.989,0.0517,0,4
0.392,0.8240000000000001,0.608,0.135,0.937,0.00317,0.0841,0,1
0.975,0.445,0.259,0.392,0.411,3.33e-05,0.1369999999999999,0,7
0.648,0.807,0.913,0.1369999999999999,0.93,0.00134,0.0797,0,1
0.591,0.777,0.611,0.123,0.949,0.282,0.0443,0,1
0.7929999999999999,0.6459999999999999,0.152,0.102,0.139,0.00143,0.0377,0,7
